geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
USA	Rockingham, New Hampshire		USA	New Hampshire	Rockingham	USA	Rockingham	New Hampshire
USA	Denton Co. TX		USA	Texas	Denton Co.	USA	Denton Co. TX	
USA	Oakley,California		USA	California	Oakley	USA	Oakley	California
USA	Kittitas, Washington		USA	Washington	Kittitas	USA	Kittitas	Washington
USA	Mello,California		USA	California	Mello	USA	Mello	California
USA	Suffolk Co., NY		USA	New York	Suffolk Co.	USA	Suffolk Co.	NY
USA	Westchester Co., NY		USA	New York	Westchester Co.	USA	Westchester Co.	NY
USA	GA		USA	Georgia		USA	GA	
USA	TX		USA	Texas		USA	TX	
USA	Notarb,California		USA	California	Notarb	USA	Notarb	California
USA	Louisiana		USA	Louisiana		USA	Louisiana	
USA	Spokane, Washington		USA	Washington	Spokane	USA	Spokane	Washington
USA	Lexington,MA		USA	Massachusetts	Lexington	USA	Lexington	MA
USA	Kansas, Chapman		USA	Kansas	Chapman	USA	Kansas	Dickinson County KS
USA	Kansas, Dodge City		USA	Kansas	Dodge City	USA	Kansas	Ford County KS
USA	Illinois, Cook County		USA	Illinois	Cook County	USA	Illinois	Cook County IL
USA	Escondido,California		USA	California	Escondido	USA	Escondido	California
USA	Poway,California		USA	California	Poway	USA	Poway	California
USA	Jackson, Oregon		USA	Oregon	Jackson	USA	Jackson	Oregon
USA	Kansas, Liberal		USA	Kansas	Liberal	USA	Kansas	Seward County KS
USA	Madera, California		USA	California	Madera	USA	Madera	California
USA	Van Buren, Iowa		USA	Iowa	Van Buren	USA	Van Buren	Iowa
USA	Coronado,California		USA	California	Coronado	USA	Coronado	California
USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
USA	Fremont, Iowa		USA	Iowa	Fremont	USA	Fremont	Iowa
USA	Pleasant_Grove,California		USA	California	Pleasant_Grove	USA	Pleasant_Grove	California
USA	Armona,California		USA	California	Armona	USA	Armona	California
USA	Josephine, Oregon		USA	Oregon	Josephine	USA	Josephine	Oregon
USA	Brandford,CT		USA	Connecticut	Brandford	USA	Brandford	CT
USA	Texas, Orange county		USA	Texas	Orange county	USA	Texas	Orange county
USA	Cochise Co., Arizona		USA	Arizona	Cochise Co.	USA	Cochise Co.	Arizona
USA	Conneticut, Columbia		USA	Connecticut	Columbia	USA	Conneticut	Columbia
USA	Washington DC		USA	District of Columbia	Washington	USA	Washington DC	
USA	Conneticut, Woodbridge		USA	Connecticut	Woodbridge	USA	Conneticut	Woodbridge
USA	Conneticut, Madison		USA	Connecticut	Madison	USA	Conneticut	Madison
USA	Conneticut, Farmington		USA	Connecticut	Farmington	USA	Conneticut	Farmington
USA	Conneticut, Hartford		USA	Connecticut	Hartford	USA	Connecticut	Hartford County
USA	Conneticut, New Haven		USA	Connecticut	New Haven	USA	Conneticut	New Haven
USA	Kansas		USA	Kansas		USA	Kansas	
USA	Black Hawk, Iowa		USA	Iowa	Black Hawk	USA	Black Hawk	Iowa
USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
USA	DesMoines, Iowa		USA	Iowa	DesMoines	USA	DesMoines	Iowa
USA	O'Brien, Iowa		USA	Iowa	O'Brien	USA	O'Brien	Iowa
USA	California		USA	California		USA	California	
USA	Apache Co., Arizona		USA	Arizona	Apache Co.	USA	Apache Co.	Arizona
USA	Maricopoa Co., Arizona		USA	Arizona	Maricopoa Co.	USA	Maricopoa Co.	Arizona
USA	Kings, California		USA	California	Kings	USA	Kings	California
USA	Conneticut, Meriden		USA	Connecticut	Meriden	USA	Conneticut	Meriden
USA	Riverside, California		USA	California	Riverside	USA	Riverside	California
USA	Buttonwillow,California		USA	California	Buttonwillow	USA	Buttonwillow	California
USA	West_Hills,California		USA	California	West_Hills	USA	West_Hills	California
USA	Lake, California		USA	California	Lake	USA	Lake	California
USA	Rowland,California		USA	California	Rowland	USA	Rowland	California
USA	Bellflower,California		USA	California	Bellflower	USA	Bellflower	California
USA	Fontana,California		USA	California	Fontana	USA	Fontana	California
USA	Corona,California		USA	California	Corona	USA	Corona	California
USA	Temple_City,California		USA	California	Temple_City	USA	Temple_City	California
USA	Pixley,California		USA	California	Pixley	USA	Pixley	California
USA	Norco,California		USA	California	Norco	USA	Norco	California
USA	nan, Idaho		USA	Idaho		USA		Idaho
USA	Lincoln, Washington		USA	Washington	Lincoln	USA	Lincoln	Washington
USA	Walla, Washington		USA	Washington	Walla	USA	Walla	Washington
USA	Klamath, Oregon		USA	Oregon	Klamath	USA	Klamath	Oregon
USA	Stanislaus, California		USA	California	Stanislaus	USA	Stanislaus	California
USA	Kerman,California		USA	California	Kerman	USA	Kerman	California
USA	Allen, Louisiana		USA	Louisiana	Allen	USA	Allen	Louisiana
USA	Imperial_Beach,California		USA	California	Imperial_Beach	USA	Imperial_Beach	California
USA	Santa_Ysabel,California		USA	California	Santa_Ysabel	USA	Santa_Ysabel	California
USA	Pottawattamie, Iowa		USA	Iowa	Pottawattamie	USA	Pottawattamie	Iowa
USA	Delano,California		USA	California	Delano	USA	Delano	California
USA	Oceanside,California		USA	California	Oceanside	USA	Oceanside	California
USA	San_Marcos,California		USA	California	San_Marcos	USA	San_Marcos	California
USA	Mira_Mesa,California		USA	California	Mira_Mesa	USA	Mira_Mesa	California
USA	Encinitas,California		USA	California	Encinitas	USA	Encinitas	California
USA	Arvin,California		USA	California	Arvin	USA	Arvin	California
USA	Nassau County, NY		USA	New York	Nassau County	USA	Nassau County	NY
USA	Monona, Iowa		USA	Iowa	Monona	USA	Monona	Iowa
USA	Simi_Valley,California		USA	California	Simi_Valley	USA	Simi_Valley	California
USA	New York City		USA	New York		USA	New York City	
USA	District of Columbia		USA	District of Columbia		USA	Washington DC	
USA	Strafford, New Hampshire		USA	New Hampshire	Strafford	USA	Strafford	New Hampshire
USA	NY, Suffolk		USA	New York	Suffolk	USA	NY	Suffolk
USA	Descanso,California		USA	California	Descanso	USA	Descanso	California
USA	Woodbury, Iowa		USA	Iowa	Woodbury	USA	Woodbury	Iowa
USA	Conneticut, Cheshire		USA	Connecticut	Cheshire	USA	Conneticut	Cheshire
USA	Conneticut, Orange		USA	Connecticut	Orange	USA	Conneticut	Orange
USA	Conneticut, Fairfield		USA	Connecticut	Fairfield	USA	Conneticut	Fairfield
USA	Bossier, Louisiana		USA	Louisiana	Bossier	USA	Bossier	Louisiana
USA	St. Tammany, Louisiana		USA	Louisiana	St. Tammany	USA	St. Tammany	Louisiana
USA	Caddo, Louisiana		USA	Louisiana	Caddo	USA	Caddo	Louisiana
USA	Belmont, Ohio		USA	Ohio	Belmont	USA	Belmont	Ohio
USA	Williams, Ohio		USA	Ohio	Williams	USA	Williams	Ohio
USA	Los Angeles, California		USA	California	Los Angeles	USA	Los Angeles	California
USA	Montgomery, Ohio		USA	Ohio	Montgomery	USA	Montgomery	Ohio
USA	New Jersey		USA	New Jersey		USA	New Jersey	
USA	Conneticut, Stamford		USA	Connecticut	Stamford	USA	Conneticut	Stamford
USA	Conneticut, Harwinton		USA	Connecticut	Harwinton	USA	Conneticut	Harwinton
USA	Conneticut, Branford		USA	Connecticut	Branford	USA	Conneticut	Branford
USA	Conneticut, Shelton		USA	Connecticut	Shelton	USA	Conneticut	Shelton
USA	Conneticut, Westport		USA	Connecticut	Westport	USA	Conneticut	Westport
USA	Texas, Jefferson county		USA	Texas	Jefferson county	USA	Texas	Jefferson county
USA	Maryland		USA	Maryland		USA	Maryland	
USA	Texas, Galveston county		USA	Texas	Galveston county	USA	Texas	Galveston county
USA	Pierce, Washington		USA	Washington	Pierce	USA	Pierce	Washington
USA	Umatilla, Oregon		USA	Oregon	Umatilla	USA	Umatilla	Oregon
USA	Hall County, Texas		USA	Texas	Hall County	USA	Hall County	Texas
USA	Florida		USA	Florida		USA	Florida	
USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
USA	Florida, Indian River County		USA	Florida	Indian River County	USA	Florida	Indian River County
USA	Penrose CO		USA	Colorado	Penrose	USA	Penrose CO	
USA	Illinois, Cook		USA	Illinois	Cook	USA	Illinois	Cook County IL
USA	MD		USA	Maryland		USA	MD	
USA	Illinois, Iroquois		USA	Illinois	Iroquois	USA	Illinois	Iroquois County
USA	Lucas, Ohio		USA	Ohio	Lucas	USA	Lucas	Ohio
USA	Summit, Ohio		USA	Ohio	Summit	USA	Summit	Ohio
USA	Franklin, Ohio		USA	Ohio	Franklin	USA	Franklin	Ohio
USA	Lorain, Ohio		USA	Ohio	Lorain	USA	Lorain	Ohio
USA	Hamilton, Ohio		USA	Ohio	Hamilton	USA	Hamilton	Ohio
USA	Morrow, Oregon		USA	Oregon	Morrow	USA	Morrow	Oregon
USA	Ouachita, Louisiana		USA	Louisiana	Ouachita	USA	Ouachita	Louisiana
USA	Alabama		USA	Alabama		USA	Alabama	
USA	Harris County, TX		USA	Texas	Harris County	USA	Harris County	TX
USA	Texas, Randall county		USA	Texas	Randall county	USA	Texas	Randall county
USA	Conneticut, New Britain		USA	Connecticut	New Britain	USA	Conneticut	New Britain
USA	Texas, El Paso county		USA	Texas	El Paso county	USA	Texas	El Paso county
USA	Conneticut, Pomfret		USA	Connecticut	Pomfret	USA	Conneticut	Pomfret
USA	Conneticut, Bloomfield		USA	Connecticut	Bloomfield	USA	Conneticut	Bloomfield
USA	Conneticut, Enfield		USA	Connecticut	Enfield	USA	Conneticut	Enfield
USA	Connecticut, East Haven		USA	Connecticut	East Haven	USA	Connecticut	East Haven
USA	Conneticut, Brooklyn		USA	Connecticut	Brooklyn	USA	Conneticut	Brooklyn
USA	Nebraska		USA	Nebraska		USA	Nebraska	
USA	Connecticut, Greenwich-Stanford town line		USA	Connecticut	Greenwich-Stanford town line	USA	Connecticut	Greenwich-Stanford town line
USA	Conneticut, Glastonbury		USA	Connecticut	Glastonbury	USA	Conneticut	Glastonbury
USA	Conneticut, Winstead		USA	Connecticut	Winstead	USA	Conneticut	Winstead
USA	Conneticut, Greenwich		USA	Connecticut	Greenwich	USA	Conneticut	Greenwich
USA	Conneticut, Norwalk		USA	Connecticut	Norwalk	USA	Conneticut	Norwalk
USA	Conneticut, Wilton		USA	Connecticut	Wilton	USA	Conneticut	Wilton
USA	Connecticut, Westport		USA	Connecticut	Westport	USA	Connecticut	Westport
USA	Conneticut, Canterbury		USA	Connecticut	Canterbury	USA	Conneticut	Canterbury
USA	Conneticut, Bristol		USA	Connecticut	Bristol	USA	Conneticut	Bristol
USA	Conneticut, Putnam		USA	Connecticut	Putnam	USA	Conneticut	Putnam
USA	Texas, Wichita county		USA	Texas	Wichita county	USA	Texas	Wichita county
USA	Texas, Tarrant county		USA	Texas	Tarrant county	USA	Texas	Tarrant county
USA	Texas, Gregg county		USA	Texas	Gregg county	USA	Texas	Gregg county
USA	Conneticut, East Granby		USA	Connecticut	East Granby	USA	Conneticut	East Granby
USA	Galveston County, TX		USA	Texas	Galveston County	USA	Galveston County	TX
USA	Montgomery County, TX		USA	Texas	Montgomery County	USA	Montgomery County	TX
USA	Conneticut, New Milford		USA	Connecticut	New Milford	USA	Conneticut	New Milford
USA	Texas, Nueces county		USA	Texas	Nueces county	USA	Texas	Nueces county
USA	Conneticut, Newington		USA	Connecticut	Newington	USA	Conneticut	Newington
USA	Conneticut, Milford		USA	Connecticut	Milford	USA	Conneticut	Milford
USA	Conneticut, Stonington		USA	Connecticut	Stonington	USA	Conneticut	Stonington
USA	Conneticut, North Stonington		USA	Connecticut	North Stonington	USA	Conneticut	North Stonington
USA	Conneticut, New London		USA	Connecticut	New London	USA	Conneticut	New London
USA	Conneticut, Ledyard		USA	Connecticut	Ledyard	USA	Conneticut	Ledyard
USA	Conneticut, Mystic		USA	Connecticut	Mystic	USA	Conneticut	Mystic
USA	Conneticut, Woodbury		USA	Connecticut	Woodbury	USA	Conneticut	Woodbury
Uganda	Queen Elizabeth National Park		Uganda		Queen Elizabeth National Park	Uganda	Queen Elizabeth National Park	
Uganda			Uganda			Uganda		
Ukraine	Lviv region		Ukraine	Lvivska oblast		Ukraine	Lviv region	
United Arab Emirates			United Arab Emirates			United Arab Emirates		
United Kingdom			United Kingdom			United Kingdom		
Viet Nam			Viet Nam			Vietnam		
Zambia			Zambia			Zambia		
Zambia	Mongu district		Zambia		Mongu district	Zambia	Mongu district	
Zimbabwe			Zimbabwe			Zimbabwe		
